State,Jun 24 Value,Jun 24 Low CI,Jun 24 High CI,Urban,Rural,Conservative,Moderate,Liberal,Political Don't know,Political sum,Below Poverty Line,White,Black,AI_AN,Asian,NHPI,Hispanic,Multiple,Percent of total pop with at least one dose,Percent of pop with an updated (bivalent) booster dose,Percent of 5+ pop with a completed primary series,Percent of 12+ pop with at least one dose,Percent of 18+ pop with a completed primary series,Percent of 65+ pop with a completed primary series,Paid sick leave,Eviction moratoria duration,7/11/22,8/8/22,9/26/22,10/17/22,11/14/22,12/19/22,1/16/23,2/13/23,3/13/23,4/10/23,5/8/23,6/19/23,7/10/23,8/7/23,9/4/23,10/2/23,10/30/23,2/5/24,3/4/24,4/1/24,4/29/24,5/27/24,6/24/24,Avg
Alabama,5,3.4,7.2,57.7,42.3,50,29,12,8,99,16.5,0.647117157,0.26430898,0.005532196,0.01547663,0.000526378,0.041488514,0.025550145,65.1,7.7,56.6,74.2,63.3,85.3,0,59,9,11.2,7.6,8,9,6.8,7.3,5.7,7.6,7.3,5.5,7.7,6.7,7.1,6.3,8.8,6.8,7.9,8.3,7.4,8.3,8.6,5, 7.6 
Alaska,6.7,4.3,10,64.9,35.1,34,37,23,6,100,11.4,0.587952556,0.032379431,0.148749358,0.065231882,0.015895952,0.052876089,0.096914732,73.2,14.2,69.8,82.9,75.9,89.5,0,114,8.7,7.9,8.1,8.8,8.1,5.5,4.9,5.4,4.9,5.3,9.9,5.2,8.3,7.7,9.1,4.5,5.4,9.2,7.7,8.2,5.7,6.8,6.7, 7.0 
Arizona,6.9,5,9.2,89.3,10.7,39,31,23,7,100,12.6,0.529302314,0.047562254,0.037276621,0.036368778,0.001967606,0.289345563,0.058176864,78.4,15.8,70.2,86.9,75.2,90.8,1,0,9.6,10.1,6.2,7.9,7.3,6.1,5.9,6.9,7.6,7,6.4,8.3,6.4,6.3,6.9,6.2,5.9,6.3,6.4,6.4,5.4,5.9,6.9, 6.9 
Arkansas,6.6,4.6,9.1,55.5,44.5,42,38,14,6,100,16.8,0.709675841,0.15331374,0.007915257,0.01778774,0.00421718,0.075663974,0.031426266,70.1,11,60.6,79.5,66.8,84.2,0,0,8.9,7.2,9.1,10.5,9.1,6.8,8,6.4,6.2,8.9,9.7,6.9,5.7,6.5,5.2,5.9,6.7,8,6.5,6.1,5.3,6.6,6.6, 7.3 
California,4.1,3.3,5.1,94.2,5.8,31,34,29,6,100,12.1,0.347299629,0.055794228,0.004066735,0.155872446,0.003737983,0.36004832,0.07318066,85.1,20.6,79.1,94,83.9,93.2,1,884,7,8.7,6.3,7.7,6.8,5.8,5.3,5.8,5.5,5.4,4.7,5.8,4.7,4.9,4.8,4.8,5.5,6.8,7.2,7.2,4.7,5.3,4.1, 5.9 
Colorado,6.7,4.6,9.4,86,14,33,34,28,5,100,9.2,0.66471356,0.041291962,0.006301278,0.035518258,0.001557383,0.197085716,0.053531843,84,22.1,77.7,92.2,82.9,95,1,117,7.7,9.3,7.8,8,6.1,6.6,5.4,7.8,6.1,6.1,7.6,6.4,6.1,6.1,4.7,5.8,5.4,6.4,6,9.4,6.1,5.3,6.7, 6.6 
Connecticut,5.5,3.5,8.2,86.3,13.7,33,36,25,6,100,9.9,0.638607304,0.107293162,0.002249735,0.050398419,0.000376978,0.1449907,0.056083702,95,25.6,87.1,95,91.7,95,1,740,7.7,7.7,6.5,5,7.5,5.2,7.5,5.9,6.7,8,6.5,5.1,4.1,5.8,5.8,7.1,5.3,6.3,6.4,7.7,4.6,5.8,5.5, 6.2 
Delaware,6.7,4.5,9.7,82.6,17.4,26,40,25,9,100,8.7,0.599941477,0.224679791,0.002999815,0.042835007,0.000345642,0.080055303,0.049142966,88.5,21.2,77.6,95,83.2,95,0,205,3.8,5.1,8.3,5.9,8.2,5.3,8.4,7.3,6.3,5.9,4.3,7.8,5.6,5.7,5,4.5,5.3,4.9,5.2,7.3,5.3,4.3,6.7, 5.9 
District of Columbia,2.3,1,4.3,100,0,15,39,36,10,100,13.3,0.375333245,0.433570556,0.002089898,0.045114416,0.000584993,0.087141617,0.056165275,95,32.1,95,95,95,95,1,894,3.5,6.1,,3.2,3.4,4.1,3.8,3.8,3.2,4,2,,2.1,3.8,3.7,3.7,,4.5,4.1,4.4,3.2,3,2.3, 3.6 
Florida,5.3,3.7,7.3,91.5,8.5,37,31,24,8,100,12.7,0.523388925,0.154157262,0.002539647,0.030021637,0.000682945,0.244639258,0.044570325,82.9,11.7,73.5,92.5,79.6,94.4,0,182,7.2,9.1,6.9,4.8,6.3,4.5,5.1,4.6,5.8,4.6,4.3,4.6,5.9,5.3,4.7,5.6,5,6.3,6.7,6.4,4.8,5.5,5.3, 5.6 
